Wall time,Step,Value
1662553587.859687,951,4.1115166823146865e-05
1662553590.7717683,956,4.0986109524965286e-05
1662553592.8896596,960,4.0889943193178624e-05
1662553593.8983386,962,4.084307511220686e-05
1662553596.827545,967,4.076199547853321e-05
1662553597.9726589,970,4.0804316085996106e-05
1662553598.6023135,972,4.098086719750427e-05
1662553599.1935833,974,4.150961103732698e-05
1662553600.1978948,977,4.458332114154473e-05
1662553601.3963726,981,7.024657679721713e-05
1662553603.4765353,988,5.6627537560416386e-05
1662553603.7627747,989,4.116368654649705e-05
1662553604.9213445,993,5.497684105648659e-05
1662553605.225126,994,4.106191772734746e-05
1662553606.4175568,998,4.508950951276347e-05
1662553606.7271981,999,4.14148744312115e-05
1662553607.0221996,1000,5.00052010465879e-05
1662553607.6101587,1002,4.740932126878761e-05
1662553608.770899,1005,4.8634694394422695e-05
1662553610.1889007,1009,4.419534161570482e-05
1662553612.1986303,1015,4.259937850292772e-05
1662553612.5398211,1016,4.041298961965367e-05
1662553612.8536549,1017,3.998145984951407e-05
1662553614.9737556,1022,4.001720662927255e-05
1662553615.964014,1025,4.004633956355974e-05
1662553617.1509795,1028,4.032177457702346e-05
1662553618.0951967,1031,3.9417755033355206e-05
1662553619.8962336,1036,3.929163722204976e-05
1662553620.4579349,1037,3.940123860957101e-05
1662553620.772922,1038,3.9539070712635294e-05
1662553621.378805,1040,3.929736340069212e-05
1662553624.0694013,1047,3.9044298318913206e-05
1662553627.3253758,1055,3.8916408811928704e-05
1662553630.0351815,1060,3.8781323382863775e-05
1662553631.1657503,1062,3.8723519537597895e-05
1662553631.6598768,1063,3.868750354740769e-05
1662553634.914151,1069,3.856215698760934e-05
1662553638.0374951,1075,3.8439713534899056e-05
1662553638.598656,1076,3.8416321331169456e-05
1662553639.1146812,1077,3.839616329059936e-05
1662553639.6339931,1078,3.83782789867837e-05
1662553641.7100704,1082,3.829650449915789e-05
1662553642.7497358,1084,3.825538442470133e-05
1662553644.3967903,1087,3.819838093477301e-05
1662553644.9137583,1088,3.8177964597707614e-05
1662553645.9575644,1090,3.8136709918035194e-05
1662553649.3733144,1096,3.802062929025851e-05
1662553650.946645,1099,3.7961821362841874e-05
1662553651.513649,1100,3.794273652601987e-05
1662553652.0262089,1101,3.7923793570371345e-05
1662553653.1464422,1103,3.788579851971008e-05
1662553657.052369,1110,3.775284858420491e-05
1662553657.6368673,1111,3.773416028707288e-05
1662553659.2061965,1114,3.767813177546486e-05
1662553659.7727,1115,3.76594798581209e-05
1662553661.563509,1118,3.760375693673268e-05
1662553663.3641045,1121,3.754853241844103e-05
1662553663.9575193,1122,3.7530207919189706e-05
1662553664.496434,1123,3.7511923437705263e-05
1662553665.816225,1125,3.747539813048206e-05
1662553666.8471463,1127,3.7438956496771425e-05
1662553668.5683544,1130,3.7384415918495506e-05
1662553672.833809,1138,3.72400572814513e-05
1662553673.3188825,1139,3.7222162063699216e-05
1662553673.9017415,1140,3.720428139786236e-05
1662553676.3294368,1144,3.7133075238671154e-05
1662553676.8503313,1145,3.711534372996539e-05
1662553680.512067,1152,3.699184162542224e-05
1662553686.459321,1164,3.679905057651922e-05
1662553688.9603274,1169,3.6900542909279466e-05
1662553689.2664511,1170,3.702643880387768e-05
1662553689.8633664,1172,3.767867383430712e-05
1662553690.1706097,1173,3.843613012577407e-05
1662553690.4666786,1174,3.9791812014300376e-05
1662553692.3782053,1180,0.0001250123605132103
1662553695.0577257,1189,8.018143125809729e-05
1662553695.6838634,1191,5.2226092520868406e-05
1662553696.6084068,1194,3.89160486520268e-05
1662553698.103775,1199,4.894268568023108e-05
1662553699.3250716,1203,4.789389276993461e-05
1662553700.1800814,1206,4.03846352128312e-05
1662553700.7667487,1208,4.013199941255152e-05
1662553702.6607912,1214,4.0216957131633535e-05
1662553703.0070493,1215,3.888263745466247e-05
1662553703.8801472,1217,3.773629214265384e-05
1662553705.6209967,1222,3.78172226191964e-05
1662553707.137289,1226,3.69996705558151e-05
1662553707.462446,1227,3.611287320381962e-05
1662553709.677472,1233,3.6446141166379675e-05
